Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
6000,25.495259,44.309284,2.189019,32.963090,0.11,0.06,93.08,0;
6000,25.538600,43.942872,2.147469,32.914967,0.11,0.05,93.73,0;
6000,25.837597,44.399948,2.226952,33.188650,0.13,0.03,92.10,0;
6000,25.607867,44.086256,2.143168,32.965482,0.13,0.04,85.17,0;
6000,25.396359,44.320621,2.201180,33.396191,0.13,0.04,93.49,0;
6000,25.794348,45.117166,2.185444,33.278406,0.09,0.07,112.96,0;
6000,25.813766,46.181894,2.161807,33.557564,0.10,0.06,101.39,0;
6000,25.417238,44.843808,2.244065,32.965947,0.10,0.07,92.86,0;
6000,25.731243,44.175099,2.208275,33.086719,0.12,0.05,93.02,0;
6000,25.568079,44.332667,2.238216,33.105173,0.07,0.08,94.08,0;
6000,25.533150,44.119147,2.200839,33.100776,0.09,0.07,95.59,0;
6000,25.465299,43.725918,2.230694,33.063553,0.11,0.04,89.14,0;
6000,25.655815,44.462102,2.139174,33.074820,0.10,0.06,92.17,0;
6000,26.041798,45.384227,2.161823,33.424210,0.10,0.06,93.01,0;
6000,25.476594,43.071145,2.123084,32.933123,0.09,0.07,93.90,0;
6000,25.410333,43.633382,2.178144,32.920546,0.08,0.08,88.65,0;
6000,25.534457,45.550828,2.173637,33.037371,0.10,0.06,95.66,0;
6000,25.486720,44.911906,2.184150,33.034477,0.13,0.05,92.23,0;
6000,25.723024,44.547378,2.161594,32.971104,0.11,0.06,95.11,0;
6000,25.534812,45.070013,2.171926,33.433407,0.13,0.04,91.13,0;
6000,25.619020,45.119268,2.136551,33.032828,0.12,0.06,96.33,0;
6000,25.595802,45.786810,2.187869,33.253714,0.08,0.07,97.87,0;
6000,25.556735,44.049807,2.193437,33.012003,0.12,0.04,93.42,0;
6000,25.661109,44.657075,2.238095,33.276669,0.11,0.06,95.26,0;
6000,25.744434,44.108310,2.202845,32.993326,0.09,0.05,97.03,0;
