Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
1000000,0.911420,10.339904,1.213906,0.000000,0.11,0.05,12.16,1;
1000000,0.917610,10.323147,1.200127,0.000000,0.13,0.03,14.86,1;
1000000,0.875561,10.327137,1.211097,0.000000,0.12,0.05,14.21,1;
1000000,0.911707,10.407961,1.210977,0.000000,0.13,0.04,12.33,1;
1000000,0.873616,10.333026,1.203865,0.000000,0.09,0.06,12.14,1;
1000000,0.875168,10.414007,1.208152,0.000000,0.11,0.04,16.85,0;
1000000,0.915190,10.449685,1.203638,0.000000,0.09,0.05,16.67,0;
1000000,0.877999,10.453690,1.202406,0.000000,0.10,0.06,12.28,1;
1000000,0.946367,10.434404,1.207216,0.000000,0.14,0.03,12.36,1;
1000000,0.875768,10.518122,1.196263,0.000000,0.11,0.06,14.32,1;
1000000,0.870231,10.326747,1.187534,0.000000,0.06,0.10,12.19,1;
1000000,0.873145,10.338276,1.194725,0.000000,0.11,0.06,14.46,1;
1000000,0.872643,10.456105,1.216834,0.000000,0.09,0.07,12.29,1;
1000000,0.902871,10.311135,1.193656,0.000000,0.08,0.07,12.16,1;
1000000,0.908709,10.345842,1.191884,0.000000,0.09,0.06,12.21,1;
1000000,0.913149,10.409327,1.190599,0.000000,0.10,0.06,13.43,1;
1000000,0.941053,10.322853,1.199403,0.000000,0.09,0.07,14.65,1;
1000000,0.875805,10.541112,1.199815,0.000000,0.10,0.05,14.60,1;
1000000,0.871517,10.437272,1.199717,0.000000,0.11,0.04,12.28,1;
1000000,0.941870,10.329342,1.203932,0.000000,0.12,0.04,12.23,1;
1000000,0.910283,10.463138,1.199762,0.000000,0.11,0.04,12.31,1;
1000000,0.870697,10.338614,1.193645,0.000000,0.10,0.07,12.23,1;
1000000,0.873200,10.348832,1.194138,0.000000,0.11,0.05,12.21,1;
1000000,0.875364,10.289155,1.203402,0.000000,0.09,0.05,12.17,1;
1000000,0.870051,10.330667,1.191073,0.000000,0.11,0.06,14.26,1;
