Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
250000,1.464537,22.143405,0.617500,0.000984,0.39,0.11,35.55,1;
250000,1.454056,20.466518,0.619302,0.000965,0.11,0.05,31.90,0;
250000,1.442863,21.484129,0.619046,0.000969,0.08,0.09,31.34,0;
250000,1.439630,22.343497,0.615051,0.000953,0.09,0.08,32.39,0;
250000,1.468387,21.439672,0.620141,0.000984,0.11,0.06,31.56,0;
250000,1.454681,19.835736,0.617370,0.000948,0.10,0.07,30.13,0;
250000,1.432083,20.531302,0.613826,0.000992,0.07,0.09,30.27,0;
250000,1.444299,20.537301,0.618306,0.000977,0.11,0.06,31.03,0;
250000,1.447373,21.517951,0.612179,0.000942,0.06,0.10,29.62,0;
250000,1.442629,20.129641,0.616421,0.000969,0.10,0.07,31.08,0;
250000,1.446327,22.048248,0.620661,0.000950,0.12,0.04,31.37,0;
250000,1.456083,22.209893,0.610648,0.000982,0.09,0.06,31.87,0;
250000,1.438782,19.534118,0.614957,0.000951,0.09,0.08,35.15,0;
250000,1.435308,19.316176,0.614999,0.001018,0.11,0.05,29.52,0;
250000,1.453865,22.240359,0.618288,0.001032,0.08,0.09,32.08,0;
250000,1.443188,20.245771,0.616195,0.000941,0.05,0.11,31.63,0;
250000,1.441374,19.625578,0.609219,0.000936,0.07,0.09,30.59,0;
250000,1.455898,20.142316,0.616662,0.000991,0.12,0.04,33.58,0;
250000,1.436008,22.536414,0.616239,0.000982,0.11,0.06,32.59,0;
250000,1.430692,20.488908,0.617043,0.000979,0.11,0.05,30.99,0;
250000,1.445432,21.213562,0.616545,0.000986,0.10,0.06,33.90,0;
250000,1.442935,20.170191,0.617717,0.000988,0.08,0.08,31.28,0;
250000,1.444041,21.254574,0.617120,0.000972,0.10,0.06,33.60,0;
250000,1.442520,22.173199,0.612418,0.000983,0.10,0.06,30.05,0;
250000,1.438318,23.123163,0.616201,0.000974,0.06,0.10,32.43,0;
