Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
409600,0.956838,15.065679,0.813072,0.366874,0.07,0.08,19.68,0;
409600,0.952953,14.935547,0.819321,0.368125,0.12,0.03,16.83,0;
409600,0.960460,15.064311,0.820111,0.367100,0.09,0.05,22.30,0;
409600,0.959464,14.904784,0.819505,0.380807,0.05,0.10,16.82,0;
409600,0.962563,14.990364,0.819230,0.372391,0.09,0.07,16.95,1;
409600,0.973914,15.126908,0.819668,0.367905,0.07,0.06,17.02,0;
409600,0.979541,15.408099,0.819689,0.375972,0.08,0.09,22.66,0;
409600,0.971017,15.188314,0.819001,0.367273,0.10,0.04,17.55,0;
409600,0.972612,15.015177,0.822391,0.371558,0.06,0.08,19.61,0;
409600,0.973290,15.700411,0.819379,0.373778,0.10,0.05,20.18,0;
409600,0.957132,14.945101,0.819388,0.372847,0.09,0.06,19.56,0;
409600,0.968824,15.065385,0.819712,0.365955,0.09,0.07,19.69,0;
409600,0.958082,15.133007,0.820547,0.376420,0.11,0.04,17.06,0;
409600,0.959314,15.095900,0.820849,0.367393,0.11,0.05,19.69,0;
409600,0.959662,14.979278,0.821295,0.368319,0.09,0.07,16.93,0;
409600,0.978343,15.067928,0.820006,0.374196,0.11,0.06,19.65,0;
409600,0.957262,15.033343,0.819690,0.371104,0.10,0.07,16.94,1;
409600,0.965960,15.054257,0.821501,0.375006,0.10,0.06,19.66,0;
409600,0.960972,15.227253,0.821590,0.371142,0.10,0.07,17.20,1;
409600,0.957208,14.980056,0.819186,0.369021,0.09,0.06,19.53,0;
409600,0.957250,15.094795,0.819679,0.369247,0.06,0.09,17.00,0;
409600,0.952233,14.951906,0.810894,0.368499,0.11,0.05,19.56,0;
409600,0.969198,15.036189,0.818025,0.372611,0.09,0.06,16.97,0;
409600,0.954714,14.928592,0.816738,0.368101,0.10,0.05,19.52,0;
409600,0.953931,15.071326,0.816985,0.370394,0.11,0.04,16.97,0;
