verteces,init,finalize,tarjan,user,system,elapsed,pCPU
6000,59.692911,0.001707,20.012959,77.49,2.39,96.73,82;
6000,59.844315,0.001644,19.939298,77.55,2.41,95.59,83;
6000,59.445676,0.001677,19.936000,77.15,2.40,92.52,85;
6000,59.647195,0.001947,19.895536,77.21,2.51,94.91,84;
6000,59.921614,0.002047,19.914570,77.46,2.55,97.89,81;
6000,59.630033,0.001798,20.024221,77.32,2.51,97.15,82;
6000,59.961988,0.001913,19.954778,77.76,2.33,94.52,84;
6000,59.633010,0.001970,20.018222,77.54,2.28,99.74,80;
6000,59.957159,0.001650,20.006698,77.71,2.44,96.93,82;
6000,59.897420,0.001791,20.022634,77.73,2.37,92.44,86;
6000,59.380874,0.001974,20.008033,77.33,2.23,91.21,87;
6000,59.950883,0.001643,20.000408,77.82,2.30,103.37,77;
6000,60.084866,0.001887,19.946271,77.46,2.74,98.60,81;
6000,59.460405,0.001688,19.935917,77.08,2.49,91.66,86;
6000,60.066214,0.001624,19.939662,77.90,2.27,100.66,79;
6000,59.453478,0.001997,19.905082,77.23,2.30,91.92,86;
6000,59.576757,0.001889,19.898197,77.34,2.31,95.96,83;
6000,59.185628,0.001597,19.913401,76.98,2.29,82.84,95;
6000,59.572324,0.001699,19.939563,77.08,2.61,89.24,89;
6000,59.806867,0.001806,20.067637,77.56,2.49,107.03,74;
6000,60.067842,0.001733,19.948318,77.35,2.84,103.50,77;
6000,59.897669,0.001908,19.945055,77.54,2.47,97.26,82;
6000,59.283068,0.001715,19.909909,77.11,2.26,88.60,89;
6000,59.429282,0.001805,20.028968,77.16,2.48,92.87,85;
6000,60.197128,0.001782,19.888900,77.56,2.70,96.93,82;
