verteces,init,finalize,tarjan,user,system,elapsed,pCPU
1000000,1.602917,0.006346,3.484074,4.91,0.19,5.12,99;
1000000,1.603547,0.011140,3.479301,4.93,0.19,7.64,67;
1000000,1.612341,0.006498,3.508058,4.97,0.17,5.15,99;
1000000,1.603033,0.006344,3.479964,4.85,0.25,5.11,99;
1000000,1.637384,0.006684,3.505806,4.93,0.23,5.18,99;
1000000,1.603461,0.006522,3.479918,4.94,0.16,5.12,99;
1000000,1.614509,0.006055,3.521406,4.88,0.27,5.17,99;
1000000,1.603405,0.006453,3.484817,4.94,0.18,5.12,99;
1000000,1.615396,0.006466,3.522663,5.00,0.15,5.17,99;
1000000,1.604428,0.006475,3.477019,4.94,0.16,5.11,99;
1000000,1.611837,0.005683,3.486834,4.93,0.20,5.13,99;
1000000,1.605086,0.006408,3.493665,4.88,0.25,5.13,99;
1000000,1.611846,0.004202,3.510693,4.87,0.28,5.16,99;
1000000,1.604833,0.006408,3.478232,4.89,0.21,5.12,99;
1000000,1.613950,0.006330,3.507560,4.95,0.19,5.15,99;
1000000,1.636143,0.006638,3.493710,4.91,0.25,5.17,99;
1000000,1.604628,0.006328,3.498467,4.92,0.20,5.14,99;
1000000,1.614218,0.006525,3.511270,4.95,0.19,5.16,99;
1000000,1.611562,0.006603,3.489908,4.93,0.19,5.13,99;
1000000,1.603589,0.005554,3.480310,4.84,0.26,5.12,99;
1000000,1.614484,0.006459,3.510078,4.97,0.17,5.16,99;
1000000,1.614439,0.006605,3.506900,4.97,0.17,5.16,99;
1000000,1.603758,0.006262,3.485763,4.90,0.22,5.12,99;
1000000,1.613231,0.006605,3.508852,4.89,0.25,5.16,99;
1000000,1.603780,0.005978,3.483102,4.89,0.21,5.12,99;
