verteces,init,finalize,tarjan,user,system,elapsed,pCPU
150000,3.010564,0.001309,0.735531,3.73,0.01,3.76,99;
150000,3.019310,0.001268,0.740162,3.74,0.03,3.77,99;
150000,3.014109,0.002448,0.736296,3.72,0.04,6.14,61;
150000,3.041779,0.002105,0.733772,3.69,0.09,5.30,71;
150000,3.018604,0.002387,0.730436,3.65,0.10,6.44,58;
150000,3.016658,0.002393,0.735867,3.67,0.09,6.18,61;
150000,3.034519,0.001332,0.736557,3.71,0.06,3.79,99;
150000,3.007098,0.001287,0.733569,3.70,0.05,3.75,99;
150000,3.014364,0.001344,0.737943,3.71,0.04,3.76,99;
150000,2.998969,0.001343,0.733982,3.70,0.03,3.74,99;
150000,2.993573,0.001285,0.733007,3.66,0.06,3.74,99;
150000,2.993648,0.001286,0.730019,3.68,0.04,3.73,99;
150000,3.006075,0.001262,0.734319,3.69,0.05,3.75,99;
150000,2.986887,0.001251,0.730362,3.69,0.02,3.73,99;
150000,3.036337,0.001286,0.737943,3.72,0.05,3.78,99;
150000,3.010083,0.001304,0.735061,3.67,0.07,3.75,99;
150000,2.992587,0.001327,0.734983,3.69,0.05,3.74,99;
150000,2.995329,0.001278,0.732810,3.66,0.08,3.74,99;
150000,2.985580,0.001300,0.733632,3.69,0.04,3.73,99;
150000,3.018806,0.001339,0.735010,3.70,0.05,3.76,99;
150000,3.033553,0.002458,0.736574,3.72,0.05,5.17,73;
150000,3.032668,0.001287,0.733040,3.73,0.05,3.78,99;
150000,3.019745,0.001296,0.740756,3.72,0.05,3.77,99;
150000,3.022564,0.001393,0.735301,3.73,0.04,3.77,99;
150000,2.997116,0.001303,0.733107,3.68,0.05,3.74,99;
