verteces,init,finalize,tarjan,user,system,elapsed,pCPU
51200,0.219421,0.003649,0.243894,0.44,0.02,0.47,99;
51200,0.219884,0.003576,0.242466,0.46,0.00,0.47,99;
51200,0.218707,0.003637,0.243729,0.45,0.02,0.47,99;
51200,0.218448,0.003688,0.242650,0.47,0.00,0.47,100;
51200,0.221364,0.003622,0.243817,0.46,0.01,0.47,99;
51200,0.218494,0.003680,0.243440,0.45,0.02,0.47,99;
51200,0.221070,0.003695,0.244459,0.46,0.00,0.47,99;
51200,0.218500,0.003643,0.243966,0.45,0.02,0.47,99;
51200,0.219528,0.003690,0.243302,0.45,0.01,0.47,99;
51200,0.220405,0.003671,0.242326,0.46,0.01,0.47,98;
51200,0.220510,0.003668,0.242785,0.47,0.00,0.47,100;
51200,0.219581,0.003608,0.244952,0.47,0.00,0.47,99;
51200,0.220013,0.003920,0.243252,0.44,0.03,2.86,16;
51200,0.239329,0.004532,0.243230,0.48,0.02,7.97,6;
51200,0.258795,0.004005,0.242239,0.45,0.06,2.65,19;
51200,0.242292,0.003639,0.244176,0.45,0.04,0.50,99;
51200,0.219426,0.004632,0.243664,0.44,0.04,2.62,18;
51200,0.253047,0.003561,0.243725,0.46,0.04,0.51,99;
51200,0.219182,0.003653,0.243276,0.43,0.04,0.47,99;
51200,0.218418,0.003605,0.243841,0.45,0.02,0.47,99;
51200,0.218507,0.003611,0.242937,0.45,0.02,0.47,99;
51200,0.221095,0.003633,0.244106,0.42,0.04,0.47,99;
51200,0.219742,0.003596,0.244534,0.43,0.04,0.47,99;
51200,0.219676,0.003615,0.244340,0.45,0.02,0.47,99;
51200,0.221515,0.003659,0.243771,0.47,0.00,0.47,100;
